main_key,dayofweek,origin_period,origin,origin_name,duration,arrival_time,destination,destination_name,load_factor,tomorrow?,minimal_n_departures,total_penumpang,maximal_load_factor
BBT-BDRSTTA,Thursday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 17:30:00,BDRSTTA,BANDARA SOETTA,25.0,0 days,1.0,2.0,25.0
BBT-BDRSTTA,Thursday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 20:30:00,BDRSTTA,BANDARA SOETTA,68.75,0 days,1.0,5.5,68.75
BBT-BDRSTTA,Tuesday,2023-11-10 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 09:30:00,BDRSTTA,BANDARA SOETTA,58.62068965517241,0 days,1.0,5.0,58.62068965517241
BBT-BDRSTTA,Tuesday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 11:30:00,BDRSTTA,BANDARA SOETTA,37.5,0 days,1.0,2.0,37.5
BBT-BDRSTTA,Tuesday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 13:30:00,BDRSTTA,BANDARA SOETTA,25.0,0 days,1.0,2.0,25.0
BBT-BDRSTTA,Tuesday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 14:30:00,BDRSTTA,BANDARA SOETTA,64.33823529411765,0 days,1.0,5.0,64.33823529411765
BBT-BDRSTTA,Tuesday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 20:30:00,BDRSTTA,BANDARA SOETTA,25.0,0 days,1.0,2.0,25.0
BBT-BDRSTTA,Wednesday,2023-11-10 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 09:30:00,BDRSTTA,BANDARA SOETTA,52.604166666666664,0 days,1.0,3.5,52.604166666666664
BBT-BDRSTTA,Wednesday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 11:30:00,BDRSTTA,BANDARA SOETTA,61.76470588235294,0 days,1.0,5.0,61.76470588235294
BBT-BDRSTTA,Wednesday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 14:30:00,BDRSTTA,BANDARA SOETTA,64.01515151515152,0 days,1.0,5.0,64.01515151515152
BBT-BDRSTTA,Wednesday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 17:30:00,BDRSTTA,BANDARA SOETTA,100.0,0 days,1.0,8.0,100.0
BBT-BDRSTTA,Wednesday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 20:30:00,BDRSTTA,BANDARA SOETTA,62.5,0 days,1.0,5.0,62.5
BBT-BKSM,Friday,2023-11-10 06:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 08:00:00,BKSM,BEKASI MALL,70.0,0 days,1.0,8.0,70.0
BBT-BKSM,Friday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSM,BEKASI MALL,60.0,0 days,1.0,7.0,60.0
BBT-BKSM,Friday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSM,BEKASI MALL,80.0,0 days,1.0,10.0,80.0
BBT-BKSM,Friday,2023-11-10 14:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 16:00:00,BKSM,BEKASI MALL,20.0,0 days,1.0,7.0,20.0
BBT-BKSM,Friday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSM,BEKASI MALL,90.0,0 days,1.0,9.0,90.0
BBT-BKSM,Monday,2023-11-10 05:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 07:00:00,BKSM,BEKASI MALL,100.0,0 days,1.0,10.0,100.0
BBT-BKSM,Monday,2023-11-10 06:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 08:00:00,BKSM,BEKASI MALL,100.0,0 days,1.0,10.0,100.0
BBT-BKSM,Monday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSM,BEKASI MALL,55.0,0 days,1.0,5.5,55.0
BBT-BKSM,Monday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSM,BEKASI MALL,63.333333333333336,0 days,1.0,6.0,63.333333333333336
BBT-BKSM,Monday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSM,BEKASI MALL,73.33333333333333,0 days,1.0,9.0,73.33333333333333
BBT-BKSM,Saturday,2023-11-10 06:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 08:00:00,BKSM,BEKASI MALL,50.0,0 days,1.0,5.0,50.0
BBT-BKSM,Saturday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSM,BEKASI MALL,95.0,0 days,1.0,9.5,95.0
BBT-BKSM,Saturday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSM,BEKASI MALL,80.0,0 days,1.0,8.0,80.0
BBT-BKSM,Saturday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSM,BEKASI MALL,70.0,0 days,1.0,7.0,70.0
BBT-BKSM,Sunday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSM,BEKASI MALL,85.0,0 days,1.0,8.5,85.0
BBT-BKSM,Sunday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSM,BEKASI MALL,100.0,0 days,1.0,10.0,100.0
BBT-BKSM,Sunday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSM,BEKASI MALL,95.0,0 days,1.0,9.5,95.0
BBT-BKSM,Thursday,2023-11-10 06:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 08:00:00,BKSM,BEKASI MALL,60.0,0 days,1.0,6.0,60.0
BBT-BKSM,Thursday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSM,BEKASI MALL,66.66666666666667,0 days,1.0,7.0,66.66666666666667
BBT-BKSM,Thursday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSM,BEKASI MALL,70.0,0 days,1.0,7.0,70.0
BBT-BKSM,Thursday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSM,BEKASI MALL,90.0,0 days,1.0,9.0,90.0
BBT-BKSM,Tuesday,2023-11-10 06:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 08:00:00,BKSM,BEKASI MALL,63.333333333333336,0 days,1.0,7.0,63.333333333333336
BBT-BKSM,Tuesday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSM,BEKASI MALL,56.666666666666664,0 days,1.0,5.0,56.666666666666664
BBT-BKSM,Tuesday,2023-11-10 11:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 13:00:00,BKSM,BEKASI MALL,100.0,0 days,1.0,10.0,100.0
BBT-BKSM,Tuesday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSM,BEKASI MALL,46.666666666666664,0 days,1.0,3.0,46.666666666666664
BBT-BKSM,Tuesday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSM,BEKASI MALL,70.0,0 days,1.0,7.0,70.0
BBT-BKSM,Wednesday,2023-11-10 06:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 08:00:00,BKSM,BEKASI MALL,56.666666666666664,0 days,1.0,4.0,56.666666666666664
BBT-BKSM,Wednesday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSM,BEKASI MALL,66.66666666666667,0 days,1.0,8.0,66.66666666666667
BBT-BKSM,Wednesday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSM,BEKASI MALL,43.333333333333336,0 days,1.0,2.0,43.333333333333336
BBT-BKSM,Wednesday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSM,BEKASI MALL,86.66666666666667,0 days,1.0,10.0,86.66666666666667
BBT-BKSM,Wednesday,2023-11-10 21:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 23:00:00,BKSM,BEKASI MALL,75.0,0 days,1.0,6.0,75.0
BBT-BKSOC,Friday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 09:00:00,BKSOC,BEKASI BEBEK OCEN,37.5,0 days,1.0,3.0,37.5
BBT-BKSOC,Friday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 12:00:00,BKSOC,BEKASI BEBEK OCEN,50.0,0 days,1.0,5.0,50.0
BBT-BKSOC,Friday,2023-11-10 11:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 13:00:00,BKSOC,BEKASI BEBEK OCEN,62.5,0 days,1.0,5.0,62.5
BBT-BKSOC,Friday,2023-11-10 12:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 14:00:00,BKSOC,BEKASI BEBEK OCEN,12.5,0 days,1.0,1.0,12.5
BBT-BKSOC,Friday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSOC,BEKASI BEBEK OCEN,57.2972972972973,0 days,1.0,6.0,57.2972972972973
BBT-BKSOC,Friday,2023-11-10 14:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 16:00:00,BKSOC,BEKASI BEBEK OCEN,30.362740707568296,0 days,1.0,3.0,30.362740707568296
